MONTH,CHANNEL,REGION,SKU_CODE,SKU_CODE_CLEAN,UNITS_SOLD,GROSS_REVENUE,DISCOUNT,AD_SPEND,RETURNS_UNITS,Category,MRP,UNIT_COGS,SKU_MATCH,NET_REVENUE,GROSS_MARGIN_%,ROAS,CM2,RETURN_RATE_%,CHANNEL_CLEAN,MONTH_CLEAN
Mar-24,Blinkit,North,BEC-CLN-002,BEC-CLN-002,411,76035,4591.03,0,11,Cleaners,185,88,MATCH,71443.97,49.38%,0.00,35275.97,2.68%,Blinkit,Mar-24
Oct-24,Amazon,South,BEC-BW-001,BEC-BW-001,95,20900,5987.8,0,4,Bake & Wrap,220,118,MATCH,14912.2,24.83%,0.00,3702.2,4.21%,Amazon,Oct-24
Oct-24,Amazon,South,BEC-CLN-099,BEC-CLN-099,95,20900,5987.8,0,4,NOT FOUND,Not Found,NOT FOUND,NOT FOUND,14912.2,0.00%,0.00,0,4.21%,Amazon,Oct-24
May-25,Zepto,West,BEC-CMB-001,BEC-CMB-001,58,40542,6029.15,0,1,Others,699,330,MATCH,34512.85,44.54%,0.00,15372.85,1.72%,Zepto,May-25
Dec-24,Zepto,South,BEC-KT-002,BEC-KT-002,140,58800,6193.28,0,8,Kitchen Towel,420,205,MATCH,52606.72,45.44%,0.00,23906.72,5.71%,Zepto,Dec-24
Nov-24,Swiggy Instamart,North,BEC-GB-002,BEC-GB-002,135,24165,6215.76,0,4,Garbage Bags,179,86,MATCH,17949.24,35.32%,0.00,6339.24,2.96%,Swiggy Instamart,Nov-24
Nov-24,Amazon,South,BEC-BW-002,BEC-BW-002,162,"28,350",6568.7,0,4,Bake & Wrap,175,92,MATCH,21781.3,31.57%,0.00,6877.3,2.47%,Amazon,Nov-24
May-24, Zepto,West,BEC-BW-001,BEC-BW-001,156,34320,7130.63,0,5,Bake & Wrap,220,118,MATCH,27189.37,32.30%,0.00,8781.37,3.21%,Zepto,May-24
Apr-25,Blinkit,North,BEC-GB-001,BEC-GB-001,226,33674,8794.62,0,5,Garbage Bags,149,70,MATCH,24879.38,36.41%,0.00,9059.38,2.21%,Blinkit,Apr-25
Dec-24, Zepto,West,BEC-CLN-002,BEC-CLN-002,471,87135,9376.05,0,16,Cleaners,185,88,MATCH,77758.95,46.70%,0.00,36310.95,3.40%,Zepto,Dec-24
Feb-25,Blinkit,North,BEC-CLN-003,BEC-CLN-003,481,143819,10596.93,0,28,Cleaners,299,150,MATCH,133222.07,45.84%,0.00,61072.07,5.82%,Blinkit,Feb-25
Apr-24,Blinkit,North,BEC-CLN-003,BEC-CLN-003,283,84617,10963.33,0,16,Cleaners,299,150,MATCH,73653.67,42.37%,0.00,31203.67,5.65%,Blinkit,Apr-24
Sep-24,Blinkit,South,BEC-CLN-003,BEC-CLN-003,175,52325,14797.09,0,6,Cleaners,299,150,MATCH,37527.91,30.05%,0.00,11277.91,3.43%,Blinkit,Sep-24
Feb-25, Zepto,South,BEC-CLN-003,BEC-CLN-003,243,72657,19103.66,0,5,Cleaners,299,150,MATCH,53553.34,31.94%,0.00,17103.34,2.06%,Zepto,Feb-25
Nov-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,33,4917,919.74,292.43,1,Others,149,72,MATCH,3997.26,40.56%,16.81,1328.83,3.03%,Swiggy Instamart,Nov-24
Oct-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,40,5960,1429.92,303.92,1,Others,149,72,MATCH,4530.08,36.42%,19.61,1346.16,2.50%,Swiggy Instamart,Oct-24
Sep-24,Swiggy Instamart,South,BEC-BW-002,BEC-BW-002,41,7175,970.93,318.22,2,Bake & Wrap,175,92,MATCH,6204.07,39.20%,22.55,2113.85,4.88%,Swiggy Instamart,Sep-24
Nov-24,Zepto,South,BEC-OTH-001,BEC-OTH-001,51,7599,1609.94,331.79,1,Others,149,72,MATCH,5989.06,38.69%,22.90,1985.27,1.96%,Zepto,Nov-24
Jul-24,Swiggy Instamart,South,BEC-BW-002,BEC-BW-002,45,7875,1293.97,348.4,0,Bake & Wrap,175,92,MATCH,6581.03,37.09%,22.60,2092.63,0.00%,Swiggy Instamart,Jul-24
Sep-24,Swiggy Instamart,West,BEC-OTH-001,BEC-OTH-001,56,8344,1777.13,349.81,2,Others,149,72,MATCH,6566.87,38.60%,23.85,2185.06,3.57%,Swiggy Instamart,Sep-24
Feb-24,Swiggy Instamart,South,  BEC-BW-002,BEC-BW-002,44,7700,1547.3,368.94,1,Bake & Wrap,175,92,MATCH,6152.7,34.21%,20.87,1735.76,2.27%,Swiggy Instamart,Feb-24
Mar-24,Flipkart,South,BEC-OTH-001,BEC-OTH-001,52,7748,1515.69,378.86,2,Others,149,72,MATCH,6232.31,39.93%,20.45,2109.45,3.85%,Flipkart,Mar-24
Jul-24,D2C,South,BEC-OTH-001,BEC-OTH-001,41,6109,597.71,383.06,6,Others,149,72,MATCH,5511.29,46.44%,15.95,2176.23,14.63%,D2C,Jul-24
Jun-24,Swiggy Instamart,West,BEC-OTH-001,BEC-OTH-001,52,7748,2119.71,397.04,2,Others,149,72,MATCH,5628.29,33.48%,19.51,1487.25,3.85%,Swiggy Instamart,Jun-24
Aug-24, Zepto,South,BEC-OTH-001,BEC-OTH-001,48,7152,1929.37,398.77,1,Others,149,72,MATCH,5222.63,33.83%,17.94,1367.86,2.08%,Zepto,Aug-24
Jan-25,Swiggy Instamart,North,BEC-OTH-001,BEC-OTH-001,56,8344,1986.11,404.13,2,Others,149,72,MATCH,6357.89,36.58%,20.65,1921.76,3.57%,Swiggy Instamart,Jan-25
Oct-24,D2C,South,BEC-TIS-001,BEC-TIS-001,100,9500,1306.45,416.48,11,Tissues,95,42,MATCH,8193.55,48.74%,22.81,3577.07,11.00%,D2C,Oct-24
Aug-24,Swiggy Instamart,South,BEC-TIS-001,BEC-TIS-001,84,7980,1059.13,417.12,3,Tissues,95,42,MATCH,6920.87,49.02%,19.13,2975.75,3.57%,Swiggy Instamart,Aug-24
Aug-24,D2C,North,BEC-OTH-001,BEC-OTH-001,40,5960,622.31,423.75,5,Others,149,72,MATCH,5337.69,46.04%,14.06,2033.94,12.50%,D2C,Aug-24
Aug-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,42,6258,1420.32,424.79,1,Others,149,72,MATCH,4837.68,37.49%,14.73,1388.89,2.38%,Swiggy Instamart,Aug-24
Jun-24,D2C,North,BEC-OTH-001,BEC-OTH-001,44,6556,960.15,426.5,4,Others,149,72,MATCH,5595.85,43.39%,15.37,2001.35,9.09%,D2C,Jun-24
Jul-24,Swiggy Instamart,North,BEC-OTH-001,BEC-OTH-001,42,6258,422.69,426.72,1,Others,149,72,MATCH,5835.31,48.18%,14.67,2384.59,2.38%,Swiggy Instamart,Jul-24
Aug-24,Swiggy Instamart,North,BEC-BW-001,BEC-BW-001,50,"11,000",3032.16,426.85,1,Bake & Wrap,220,118,MATCH,7967.84,25.95%,25.77,1640.99,2.00%,Swiggy Instamart,Aug-24
Jan-24,Swiggy Instamart,North,BEC-OTH-001,BEC-OTH-001,40,5960,681.42,426.94,1,Others,149,72,MATCH,5278.58,45.44%,13.96,1971.64,2.50%,Swiggy Instamart,Aug-24
Aug-24,Blinkit,South,BEC-OTH-001,BEC-OTH-001,57,8493,2247.19,433.32,2,Others,149,72,MATCH,6245.81,34.29%,19.60,1708.49,3.51%,Blinkit,Aug-24
Apr-25,Swiggy Instamart,South,BEC-TIS-001,BEC-TIS-001,120,11400,2922.14,434.29,6,Tissues,95,42,MATCH,8477.86,40.55%,26.25,3003.57,5.00%,Swiggy Instamart,Apr-25
Mar-24,Swiggy Instamart,South,BEC-TIS-001,BEC-TIS-001,102,9690,1898.43,437.93,3,Tissues,95,42,MATCH,7791.57,45.02%,22.13,3069.64,2.94%,Swiggy Instamart,Mar-24
Oct-24,Flipkart,South,BEC-KT-001,BEC-KT-001,70,11200,2380.61,442.78,2,Kitchen Towel,160,78,MATCH,8819.39,38.09%,25.29,2916.61,2.86%,Flipkart,Oct-24
Nov-24,Flipkart,West,BEC-OTH-001,BEC-OTH-001,66,9834,1219.97,451.08,1,Others,149,72,MATCH,8614.03,44.83%,21.80,3410.95,1.52%,Flipkart,Nov-24
Oct-24, Zepto,South,BEC-OTH-001,BEC-OTH-001,54,8046,2356.39,452.29,1,Others,149,72,MATCH,5689.61,31.66%,17.79,1349.32,1.85%,Zepto,Oct-24
Jan-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,33,4917,1283.87,452.39,1,Others,149,72,MATCH,3633.13,34.60%,10.87,804.74,3.03%,Swiggy Instamart,Jan-24
Mar-25,Zepto,South,BEC-OTH-001,BEC-OTH-001,66,9834,2391.8,452.4,3,Others,149,72,MATCH,7442.2,36.15%,21.74,2237.8,4.55%,Zepto,Mar-25
Mar-24,Blinkit,South,BEC-OTH-001,BEC-OTH-001,71,10579,1718.18,453.45,2,Others,149,72,MATCH,8860.82,42.31%,23.33,3295.37,2.82%,Blinkit,Mar-24
Jul-24, Zepto,South,BEC-BW-002,BEC-BW-002,59,10325,1723.17,455.75,1,Bake & Wrap,175,92,MATCH,8601.83,36.90%,22.65,2718.08,1.69%,Zepto,Jul-24
Mar-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,50,7450,964.44,457.45,2,Others,149,72,MATCH,6485.56,44.49%,16.29,2428.11,4.00%,Swiggy Instamart,Mar-24
Nov-24,Flipkart,South,BEC-TIS-001,BEC-TIS-001,128,12160,3571.51,460.09,3,Tissues,95,42,MATCH,8588.49,37.40%,26.43,2752.4,2.34%,Flipkart,Nov-24
Sep-24,Flipkart,North,BEC-BW-001,BEC-BW-001,51,11220,2228.29,461.39,2,Bake & Wrap,220,118,MATCH,8991.71,33.07%,24.32,2512.32,3.92%,Flipkart,Sep-24
Jul-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,32,4768,736.55,461.94,0,Others,149,72,MATCH,4031.45,42.85%,10.32,1265.51,0.00%,Swiggy Instamart,Jul-24
Sep-24,Flipkart,South,BEC-OTH-001,BEC-OTH-001,35,5215,428.61,462.04,1,Others,149,72,MATCH,4786.39,47.35%,11.29,1804.35,2.86%,Flipkart,Sep-24
Sep-24,D2C,North,BEC-BW-002,BEC-BW-002,56,9800,712.37,465.67,7,Bake & Wrap,175,92,MATCH,9087.63,43.31%,21.04,3469.96,12.50%,D2C,Sep-24
Feb-24,D2C,South,BEC-BW-002,BEC-BW-002,49,8575,207.14,469.06,7,Bake & Wrap,175,92,MATCH,8367.86,46.13%,18.28,3390.8,14.29%,D2C,Feb-24
Sep-24,Swiggy Instamart,North,BEC-TIS-001,BEC-TIS-001,100,9500,1497.96,472.07,4,Tissues,95,42,MATCH,8002.04,47.51%,20.12,3329.97,4.00%,Swiggy Instamart,Sep-24
Apr-24,D2C,South,BEC-OTH-001,BEC-OTH-001,42,6258,464.26,479.29,7,Others,149,72,MATCH,5793.74,47.81%,13.06,2290.45,16.67%,D2C,Apr-24
Oct-24,Flipkart,South,BEC-OTH-001,BEC-OTH-001,50,7450,1373.57,481.43,2,Others,149,72,MATCH,6076.43,40.75%,15.47,1995,4.00%,Flipkart,Oct-24
May-25,D2C,South,BEC-OTH-001,BEC-OTH-001,59,8791,453.99,482.49,5,Others,149,72,MATCH,8337.01,49.05%,18.22,3606.52,8.47%,D2C,May-25
Jul-24, Zepto,North,BEC-OTH-001,BEC-OTH-001,61,9089,2319.09,489.24,1,Others,149,72,MATCH,6769.91,35.12%,18.58,1888.67,1.64%,Zepto,Jul-24
Aug-24,Swiggy Instamart,North,BEC-BW-002,BEC-BW-002,50,8750,1353.48,495.04,1,Bake & Wrap,175,92,MATCH,7396.52,37.81%,17.68,2301.48,2.00%,Swiggy Instamart,Aug-24
Dec-24,Swiggy Instamart,South,BEC-TIS-001,BEC-TIS-001,120,11400,1911.73,496.13,5,Tissues,95,42,MATCH,9488.27,46.88%,22.98,3952.14,4.17%,Swiggy Instamart,Dec-24
Nov-24,Swiggy Instamart,South,BEC-TIS-001,BEC-TIS-001,101,9595,1685.67,502.53,3,Tissues,95,42,MATCH,7909.33,46.37%,19.09,3164.8,2.97%,Swiggy Instamart,Nov-24
Aug-24,Swiggy Instamart,West,BEC-BW-002,BEC-BW-002,63,11025,1396.12,504.07,3,Bake & Wrap,175,92,MATCH,9628.88,39.81%,21.87,3328.81,4.76%,Swiggy Instamart,Aug-24
May-24,Flipkart,South,BEC-OTH-001,BEC-OTH-001,48,7152,1151.43,508.93,1,Others,149,72,MATCH,6000.57,42.41%,14.05,2035.64,2.08%,Flipkart,May-24
Feb-25,Swiggy Instamart,North,BEC-OTH-001,BEC-OTH-001,71,10579,2804.15,514.02,1,Others,149,72,MATCH,7774.85,34.25%,20.58,2148.83,1.41%,Swiggy Instamart,Feb-25
Jun-25,Flipkart,South,BEC-BW-002,BEC-BW-002,68,11900,0,514.32,3,Bake & Wrap,175,92,MATCH,11900,47.43%,23.14,5129.68,4.41%,Flipkart,Jun-25
Jan-24,Blinkit,North,BEC-OTH-001,BEC-OTH-001,93,13857,3603.62,514.45,4,Others,149,72,MATCH,10253.38,34.69%,26.94,3042.93,4.30%,Blinkit,Jan-24
Jun-24,Flipkart,South,BEC-OTH-001,BEC-OTH-001,43,6407,1887.63,520.25,1,Others,149,72,MATCH,4519.37,31.49%,12.32,903.12,2.33%,Flipkart,Jun-24
Aug-24,Blinkit,North,BEC-OTH-001,BEC-OTH-001,79,11771,2786.23,528.14,3,Others,149,72,MATCH,8984.77,36.69%,22.29,2768.63,3.80%,Blinkit,Aug-24
Oct-24,Swiggy Instamart,South,BEC-BW-002,BEC-BW-002,39,6825,1532.72,529.38,1,Bake & Wrap,175,92,MATCH,5292.28,32.20%,12.89,1174.9,2.56%,Swiggy Instamart,Oct-24
Mar-24,D2C,South,BEC-OTH-001,BEC-OTH-001,41,6109,592.95,530.94,5,Others,149,72,MATCH,5516.05,46.48%,11.51,2033.11,12.20%,D2C,Mar-24
Apr-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,38,5662,1193.75,532.29,0,Others,149,72,MATCH,4468.25,38.77%,10.64,1199.96,0.00%,Swiggy Instamart,Apr-24
Jun-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,40,5960,655.15,541.1,1,Others,149,72,MATCH,5304.85,45.71%,11.01,1883.75,2.50%,Swiggy Instamart,Jun-24
Apr-25,Swiggy Instamart,South,BEC-BW-001,BEC-BW-001,61,13420,2928.29,544.97,3,Bake & Wrap,220,118,MATCH,10491.71,31.39%,24.63,2748.74,4.92%,Swiggy Instamart,Apr-25
Apr-24,Swiggy Instamart,South,BEC-BW-002,BEC-BW-002,65,11375,3240.46,546.6,2,Bake & Wrap,175,92,MATCH,8134.54,26.49%,20.81,1607.94,3.08%,Swiggy Instamart,Apr-24
Sep-24,Swiggy Instamart,South,BEC-OTH-001,BEC-OTH-001,42,6258,1252,549.63,1,Others,149,72,MATCH,5006,39.59%,11.39,1432.37,2.38%,Swiggy Instamart,Sep-24
Dec-24,D2C,South,BEC-OTH-001,BEC-OTH-001,45,6705,487.41,549.99,5,Others,149,72,MATCH,6217.59,47.89%,12.19,2427.6,11.11%,D2C,Dec-24
Dec-24,Swiggy Instamart,South,BEC-CMB-001,BEC-CMB-001,19,13281,3502.18,551.87,0,Others,699,330,MATCH,9778.82,35.88%,24.07,2956.95,0.00%,Swiggy Instamart,Dec-24
Aug-24,Flipkart,North,BEC-OTH-001,BEC-OTH-001,47,7003,562.19,555.17,1,Others,149,72,MATCH,6440.81,47.46%,12.61,2501.64,2.13%,Flipkart,Aug-24
Jan-24,Swiggy Instamart,West,BEC-OTH-001,BEC-OTH-001,54,8046,918.66,557.78,2,Others,149,72,MATCH,7127.34,45.45%,14.43,2681.56,3.70%,Swiggy Instamart,Jan-24
Jun-25,Swiggy Instamart,South,BEC-BW-002,BEC-BW-002,61,10675,2504.05,561.42,2,Bake & Wrap,175,92,MATCH,8170.95,31.32%,19.01,1997.53,3.28%,Swiggy Instamart,Jun-25
Feb-25,Flipkart,South,BEC-OTH-001,BEC-OTH-001,85,12665,2749.94,561.72,2,Others,149,72,MATCH,9915.06,38.28%,22.55,3233.34,2.35%,Flipkart,Feb-25
Aug-24,D2C,South,BEC-BW-002,BEC-BW-002,60,10500,915.97,562.9,6,Bake & Wrap,175,92,MATCH,9584.03,42.40%,18.65,3501.13,10.00%,D2C,Aug-24
Jul-24,Flipkart,North,BEC-OTH-001,BEC-OTH-001,71,10579,1285.49,564.18,1,Others,149,72,MATCH,9293.51,44.99%,18.75,3617.33,1.41%,Flipkart,Jul-24
Sep-24,Swiggy Instamart,South,BEC-CMB-001,BEC-CMB-001,12,8388,1525.42,568.21,0,Others,699,330,MATCH,6862.58,42.30%,14.76,2334.37,0.00%,Swiggy Instamart,Sep-24
Jan-24,Flipkart,South,BEC-BW-002,BEC-BW-002,65,11375,3264.55,575.91,3,Bake & Wrap,175,92,MATCH,8110.45,26.27%,19.75,1554.54,4.62%,Flipkart,Jan-24
May-24,D2C,South,BEC-OTH-001,BEC-OTH-001,48,7152,148.91,576.38,7,Others,149,72,MATCH,7003.09,50.65%,12.41,2970.71,14.58%,D2C,May-24
May-24,Flipkart,South,BEC-TIS-001,BEC-TIS-001,119,11305,2816.75,580.86,3,Tissues,95,42,MATCH,8488.25,41.12%,19.46,2909.39,2.52%,Flipkart,May-24
Sep-24,Swiggy Instamart,North,BEC-CMB-001,BEC-CMB-001,19,13281,2821.81,581.36,0,Others,699,330,MATCH,10459.19,40.05%,22.84,3607.83,0.00%,Swiggy Instamart,Sep-24
Jul-24,Swiggy Instamart,West,BEC-OTH-001,BEC-OTH-001,55,8195,1080.14,581.52,2,Others,149,72,MATCH,7114.86,44.34%,14.09,2573.34,3.64%,Swiggy Instamart,Jul-24
Aug-24,Amazon,North,BEC-OTH-001,BEC-OTH-001,109,16241,4498.2,590.02,5,Others,149,72,MATCH,11742.8,33.17%,27.53,3304.78,4.59%,Amazon,Aug-24
May-24,Flipkart,South,BEC-BW-002,BEC-BW-002,57,9975,2578.74,590.75,2,Bake & Wrap,175,92,MATCH,7396.26,29.10%,16.89,1561.51,3.51%,Flipkart,May-24
Feb-24,Swiggy Instamart,North,BEC-CMB-001,BEC-CMB-001,22,15378,4171.68,591.52,0,Others,699,330,MATCH,11206.32,35.22%,26.00,3354.8,0.00%,Swiggy Instamart,Feb-24
Feb-25, Zepto,South,BEC-OTH-001,BEC-OTH-001,69,10281,1656.74,594.87,2,Others,149,72,MATCH,8624.26,42.40%,17.28,3061.39,2.90%,Zepto,Feb-25
Apr-24,D2C,North,BEC-OTH-001,BEC-OTH-001,81,12069,1293.96,597.85,13,Others,149,72,MATCH,10775.04,45.87%,20.19,4345.19,16.05%,D2C,Apr-24
Sep-24,D2C,South,BEC-OTH-001,BEC-OTH-001,34,5066,558.43,598.54,4,Others,149,72,MATCH,4507.57,45.69%,8.46,1461.03,11.76%,D2C,Sep-24
Nov-24,Blinkit,South,BEC-OTH-001,BEC-OTH-001,77,11473,3104.17,599.77,4,Others,149,72,MATCH,8368.83,33.75%,19.13,2225.06,5.19%,Blinkit,Nov-24
Oct-24,D2C,North,BEC-CMB-001,BEC-CMB-001,17,11883,668.51,600.76,1,Others,699,330,MATCH,11214.49,49.98%,19.78,5003.73,5.88%,D2C,Oct-24
Jul-24,Swiggy Instamart,North,BEC-BW-002,BEC-BW-002,53,9275,1852.92,601.35,2,Bake & Wrap,175,92,MATCH,7422.08,34.30%,15.42,1944.73,3.77%,Swiggy Instamart,Jul-24
Sep-24,Swiggy Instamart,North,BEC-OTH-001,BEC-OTH-001,40,5960,895.48,601.55,1,Others,149,72,MATCH,5064.52,43.13%,9.91,1582.97,2.50%,Swiggy Instamart,Sep-24
Oct-24,Swiggy Instamart,South,BEC-KT-001,BEC-KT-001,94,15040,3075.4,601.84,3,Kitchen Towel,160,78,MATCH,11964.6,38.72%,24.99,4030.76,3.19%,Swiggy Instamart,Oct-24
Apr-24,Flipkart,South,BEC-BW-002,BEC-BW-002,60,10500,2015.98,604.08,2,Bake & Wrap,175,92,MATCH,8484.02,34.94%,17.38,2359.94,3.33%,Flipkart,Apr-24
Sep-24,Blinkit,North,BEC-OTH-001,BEC-OTH-001,97,14453,0,604.48,3,Others,149,72,MATCH,14453,51.68%,23.91,6864.52,3.09%,Blinkit,Sep-24
Aug-24,Zepto,North,BEC-TIS-001,BEC-TIS-001,165,15675,3888.36,605.54,4,Tissues,95,42,MATCH,11786.64,41.20%,25.89,4251.1,2.42%,Zepto,Aug-24
Feb-25,Swiggy Instamart,North,  BEC-TIS-001,BEC-TIS-001,153,14535,3078.82,608.43,8,Tissues,95,42,MATCH,11456.18,43.91%,23.89,4421.75,5.23%,Swiggy Instamart,Feb-25
Feb-24,Zepto,South,BEC-OTH-001,BEC-OTH-001,59,8791,1966.28,609.88,2,Others,149,72,MATCH,6824.72,37.76%,14.41,1966.84,3.39%,Zepto,Feb-24
Jul-24,D2C,South,BEC-BW-002,BEC-BW-002,45,7875,947.09,610.44,6,Bake & Wrap,175,92,MATCH,6927.91,40.24%,12.90,2177.47,13.33%,D2C,Jul-24
May-25, Zepto,South,BEC-OTH-001,BEC-OTH-001,82,12218,3307.38,615.33,2,Others,149,72,MATCH,8910.62,33.74%,19.86,2391.29,2.44%,Zepto,May-25
Aug-24,Flipkart,North,BEC-TIS-001,BEC-TIS-001,125,11875,1443.68,615.63,2,Tissues,95,42,MATCH,10431.32,49.67%,19.29,4565.69,1.60%,Flipkart,Aug-24
Jun-25,D2C,South,BEC-OTH-001,BEC-OTH-001,49,7301,931.27,617.85,5,Others,149,72,MATCH,6369.73,44.61%,11.82,2223.88,10.20%,D2C,Jun-25
Aug-24,Flipkart,South,BEC-OTH-001,BEC-OTH-001,50,7450,1689.58,618.32,2,Others,149,72,MATCH,5760.42,37.50%,12.05,1542.1,4.00%,Flipkart,Aug-24
Aug-24,D2C,South,BEC-OTH-001,BEC-OTH-001,41,6109,682.23,623.57,6,Others,149,72,MATCH,5426.77,45.60%,9.80,1851.2,14.63%,D2C,Aug-24
Jan-24,Flipkart,North,BEC-TIS-001,BEC-TIS-001,134,12730,2287.02,624.8,5,Tissues,95,42,MATCH,10442.98,46.11%,20.37,4190.18,3.73%,Flipkart,Jan-24
Dec-24,D2C,South,BEC-BW-002,BEC-BW-002,80,14000,1967.52,625.83,13,Bake & Wrap,175,92,MATCH,12032.48,38.83%,22.37,4046.65,16.25%,D2C,Dec-24
Nov-24,D2C,North,BEC-OTH-001,BEC-OTH-001,65,9685,1171.2,634.73,9,Others,149,72,MATCH,8513.8,45.03%,15.26,3199.07,13.85%,D2C,Nov-24
May-24,Swiggy Instamart,South,BEC-BW-001,BEC-BW-001,74,16280,3539.44,638.95,1,Bake & Wrap,220,118,MATCH,12740.56,31.46%,25.48,3369.61,1.35%,Swiggy Instamart,May-24
Jan-25,Swiggy Instamart,North,  BEC-CMB-001,BEC-CMB-001,21,14679,2783.92,639.43,0,Others,699,330,MATCH,11895.08,41.74%,22.96,4325.65,0.00%,Swiggy Instamart,Jan-25
Apr-24,Flipkart,South,BEC-CMB-001,BEC-CMB-001,210,14679,2182.85,639.91,0,Others,699,330,MATCH,12496.15,-454.57%,22.94,-57443.76,0.00%,Flipkart,Apr-24
Oct-24,D2C,South,BEC-CMB-001,BEC-CMB-001,18,12582,582.58,645.81,2,Others,699,330,MATCH,11999.42,50.50%,19.48,5413.61,11.11%,D2C,Oct-24
Jun-24,D2C,South,  BEC-OTH-001,BEC-OTH-001,52,7748,1080,646.04,6,Others,149,72,MATCH,6668,43.85%,11.99,2277.96,11.54%,D2C,Jun-24
Jul-24,Flipkart,South,BEC-BW-002,BEC-BW-002,51,8925,645.48,649.51,1,Bake & Wrap,175,92,MATCH,8279.52,43.33%,13.74,2938.01,1.96%,Flipkart,Jul-24
Jan-25,Flipkart,South,BEC-OTH-001,BEC-OTH-001,63,9387,2569.92,653.82,1,Others,149,72,MATCH,6817.08,33.46%,14.36,1627.26,1.59%,Flipkart,Jan-25
Jun-25,D2C,South,BEC-BW-001,BEC-BW-001,53,11660,1727.36,656.26,5,Bake & Wrap,220,118,MATCH,9932.64,37.04%,17.77,3022.38,9.43%,D2C,Jun-25
Jun-25,Swiggy Instamart,South,BEC-BW-001,BEC-BW-001,76,16720,4845.71,658.18,2,Bake & Wrap,220,118,MATCH,11874.29,24.48%,25.40,2248.11,2.63%,Swiggy Instamart,Jun-25
Jun-24,Swiggy Instamart,South,BEC-CMB-001,BEC-CMB-001,13,9087,1541.57,658.3,0,Others,699,330,MATCH,7545.43,43.14%,13.80,2597.13,0.00%,Swiggy Instamart,Jun-24
Jul-24,D2C,West,BEC-OTH-001,BEC-OTH-001,77,11473,1631.21,661.31,8,Others,149,72,MATCH,9841.79,43.67%,17.35,3636.48,10.39%,D2C,Jul-24
Sep-24,Swiggy Instamart,South,BEC-GB-002,BEC-GB-002,86,15394,2297.56,661.38,1,Garbage Bags,179,86,MATCH,13096.44,43.53%,23.28,5039.06,1.16%,Swiggy Instamart,Sep-24
Oct-24,D2C,South,BEC-OTH-001,BEC-OTH-001,55,8195,361.4,662.98,5,Others,149,72,MATCH,7833.6,49.45%,12.36,3210.62,9.09%,D2C,Oct-24
